seed,generation,individual_id,parent1_id,parent2_id,tf_concentration,num_active_tfs,trajectory_variability
1675610640,1,1,,,3.3266,1,34.5778
1675610640,1,2,,,1.3626,0,68.596
1675610640,1,3,,,4.5729,1,34.2713
1675610640,1,4,,,5.8852,2,25.3834
1675610640,1,5,,,6.4411,3,47.8855
1675610640,1,6,,,2.0254,1,20.287
1675610640,1,7,,,0.0037,0,12.083
1675610640,1,8,,,1.9039,1,9.813
1675610640,1,9,,,2.2469,1,7.9467
1675610640,1,10,,,2.7541,1,21.2793
1675610640,1,11,,,5.2752,1,14.9307
1675610640,1,12,,,10.4924,1,36.7296
1675610640,1,13,,,3.2666,1,41.698
1675610640,1,14,,,2.6601,1,24.1514
1675610640,1,15,,,2.6083,1,31.6778
1675610640,1,16,,,1.9184,1,23.1347
1675610640,1,17,,,3.0647,2,26.4747
1675610640,1,18,,,2.8941,1,19.8895
1675610640,1,19,,,1.0013,0,48.1524
1675610640,1,20,,,0.43,0,6.3468
1675610640,1,21,,,2.531,2,19.4558
1675610640,1,22,,,4.2237,1,54.8
1675610640,1,23,,,1.5334,0,52.778
1675610640,1,24,,,3.5979,2,51.6525
1675610640,1,25,,,15.5428,3,73.2678
1675610640,1,26,,,4.8556,2,53.8587
1675610640,1,27,,,0.0006,0,3.0726
1675610640,1,28,,,2.1712,1,34.3014
1675610640,1,29,,,4.2438,2,54.756
1675610640,1,30,,,1.4683,0,3.5983
1675610640,1,31,,,7.1202,2,59.405
1675610640,1,32,,,2.9648,1,7.161
1675610640,1,33,,,5.8672,2,56.2533
1675610640,1,34,,,9.9119,2,88.1074
1675610640,1,35,,,5.4899,2,70.3564
1675610640,1,36,,,3.9547,1,38.292
1675610640,1,37,,,0.8575,0,6.7722
1675610640,1,38,,,9.4731,2,32.925
1675610640,1,39,,,11.9931,2,81.3141
1675610640,1,40,,,3.068,1,12.7462
1675610640,1,41,,,0.6914,0,2.4786
1675610640,1,42,,,8.8875,2,49.7584
1675610640,1,43,,,5.946,1,93.3191
1675610640,1,44,,,2.5002,1,12.5489
1675610640,1,45,,,0.0006,0,4.8494
1675610640,1,46,,,33.3808,3,73.4347
1675610640,1,47,,,8.3981,3,66.1425
1675610640,1,48,,,2.1742,1,8.0763
1675610640,1,49,,,5.4253,2,30.0778
1675610640,1,50,,,3.0814,1,41.6254
1675610640,1,51,,,0.1739,0,86.2167
1675610640,1,52,,,3.3418,1,9.3139
1675610640,1,53,,,1.132,1,12.8333
1675610640,1,54,,,1.161,1,2.4216
1675610640,1,55,,,7.8092,2,30.6756
1675610640,1,56,,,2.1382,1,22.2703
1675610640,1,57,,,0.9768,0,3.1982
1675610640,1,58,,,1.1571,1,3.1629
1675610640,1,59,,,23.8892,2,52.9808
1675610640,1,60,,,5.6829,2,9.3661
1675610640,1,61,,,4.3727,2,60.8426
1675610640,1,62,,,2.4442,1,11.3756
1675610640,1,63,,,3.1349,1,19.2099
1675610640,1,64,,,1.6375,1,10.8964
1675610640,1,65,,,4.1129,1,44.2591
1675610640,1,66,,,1.5764,1,17.3356
1675610640,1,67,,,3.8272,1,20.2381
1675610640,1,68,,,7.1899,2,66.3514
1675610640,1,69,,,7.1507,2,46.6955
1675610640,1,70,,,1.9125,1,18.8358
