seed,generation,child_id,parent1_id,parent2_id,morph_diff_p1,morph_diff_p2,tf_diff_p1,tf_diff_p2,activation_diff_p1,activation_diff_p2,trajectory_diff_p1,trajectory_diff_p2
2740078919,2,101,6,36,11,6,16.4165,9.5605,2,2,3019.1777,2153.3993
2740078919,2,102,15,97,10,10,5.5117,16.8433,1,3,1231.939,3510.1187
2740078919,2,103,63,80,0,13,0.0,16.9286,0,1,0.0,3254.4686
2740078919,2,104,83,48,6,16,4.0582,13.8612,3,2,1498.7823,2832.2195
2740078919,2,105,89,77,11,13,14.8368,21.0953,1,3,3478.297,4349.8661
2740078919,2,106,58,77,17,12,22.9689,25.0872,1,3,4388.061,5519.3699
2740078919,2,107,60,43,13,6,11.6879,8.6075,1,2,1855.4594,2469.62
2740078919,2,108,95,7,10,11,4.7243,9.434,1,0,1413.0213,1358.1255
2740078919,2,109,48,50,19,15,30.3424,24.7649,2,1,6101.105,4319.7729
2740078919,2,110,52,61,13,13,7.4012,6.5993,2,0,2776.7221,2251.586
2740078919,2,111,80,56,11,13,7.8526,8.9857,0,2,1275.1492,2180.4914
2740078919,2,112,58,39,12,15,19.3283,14.0778,0,0,3431.9197,2816.971
2740078919,2,113,16,53,12,15,9.1242,9.373,1,1,2017.8961,2702.7634
2740078919,2,114,88,50,0,15,0.0,4.1744,0,2,0.0,2452.9717
2740078919,2,115,53,87,6,5,5.1822,7.5146,3,3,1147.7667,1621.7736
2740078919,2,116,28,89,9,7,11.9117,5.8352,1,1,2357.4468,1381.0555
2740078919,2,117,80,77,15,9,15.1717,7.6433,1,1,2674.6702,1493.0812
2740078919,2,118,35,27,7,13,6.1216,12.08,0,0,911.4148,2536.9008
2740078919,2,119,93,50,16,10,3.3122,1.0745,1,0,2562.1323,1175.9437
2740078919,2,120,35,16,11,12,7.061,4.3308,1,0,2067.5088,916.0961
2740078919,2,121,96,87,17,17,25.2734,20.2462,3,1,4784.1787,3692.292
2740078919,2,122,16,97,16,14,20.0325,20.941,1,2,4312.1304,4861.6915
