seed,generation,child_id,parent1_id,parent2_id,morph_diff_p1,morph_diff_p2,tf_diff_p1,tf_diff_p2,activation_diff_p1,activation_diff_p2,trajectory_diff_p1,trajectory_diff_p2
2000041698,2,101,47,65,0,12,0.0,3.6322,0,2,0.0,1601.7084
2000041698,2,102,60,84,4,11,0.3979,5.3483,0,2,507.9841,2616.7396
2000041698,2,103,4,9,0,10,0.0,8.7599,0,0,0.0,2837.8761
2000041698,2,104,29,11,15,15,14.7934,17.6764,2,4,4229.6158,5177.1553
2000041698,2,105,99,60,7,3,0.3973,2.2653,1,2,240.6649,537.2902
2000041698,2,106,98,25,5,15,4.7294,5.655,0,1,1237.7992,1555.1377
2000041698,2,107,91,70,0,13,7.2674,17.3976,1,2,2080.9574,4399.891
2000041698,2,108,25,84,14,11,4.1961,5.1395,0,0,1458.1636,1679.5141
2000041698,2,109,1,45,14,9,15.3985,4.7705,2,1,3353.314,1125.2706
2000041698,2,110,64,29,12,9,4.8217,5.6114,2,2,1894.5453,2257.3164
2000041698,2,111,9,84,8,17,9.4558,3.6,1,0,2746.9329,999.5666
2000041698,2,112,70,92,13,14,11.0001,7.3073,1,2,2235.7443,3442.3097
2000041698,2,113,61,82,12,11,4.4161,5.2431,1,3,2542.407,2880.1689
2000041698,2,114,57,100,9,13,4.0768,10.988,2,2,1239.6403,2076.9057
2000041698,2,115,65,50,8,11,3.1066,8.8036,2,2,350.6826,1561.7383
2000041698,2,116,1,98,7,12,13.2476,5.652,0,1,2315.0936,1302.9218
2000041698,2,117,85,79,2,6,4.3473,0.7372,2,0,1194.9713,216.3872
2000041698,2,118,1,85,1,8,0.9436,10.4101,0,0,697.2712,2444.0939
2000041698,2,119,41,29,0,6,0.0,2.823,0,1,0.0,1262.4013
2000041698,2,120,21,80,10,11,4.4239,3.4851,2,1,1548.0199,2368.1956
2000041698,2,121,85,43,3,3,5.1841,0.4052,2,0,1537.6163,402.6059
2000041698,2,122,65,41,5,8,0.0032,0.8966,0,1,55.1766,221.1065
2000041698,2,123,75,37,10,12,3.3895,7.0723,1,2,1471.669,1594.9372
2000041698,2,124,19,87,11,8,5.6407,5.5258,1,0,1316.5872,1399.0265
2000041698,2,125,9,1,14,16,7.9083,16.4544,2,1,2534.2181,3637.8599
2000041698,2,126,15,40,0,11,0.0,7.5628,0,2,0.0,2274.3711
2000041698,2,127,9,50,20,17,11.8706,9.5272,2,3,4722.3012,3469.7427
2000041698,2,128,91,66,6,19,11.682,12.6717,1,2,3244.1743,3201.3378
2000041698,2,129,1,65,7,9,16.4707,0.9573,2,0,3970.7893,852.2983
2000041698,2,130,99,79,6,7,2.3758,0.1106,1,0,863.7517,489.6043
2000041698,2,131,56,29,13,13,16.9851,14.3532,1,1,3739.942,3354.5974
2000041698,2,132,40,91,0,14,0.0,10.1604,0,2,0.0,3098.811
2000041698,2,133,49,1,11,5,4.4395,11.2916,1,0,1319.6297,2489.5847
2000041698,2,134,85,70,4,11,4.2391,11.4668,2,1,1266.2127,2610.0824
2000041698,2,135,91,98,12,12,13.6432,4.1006,2,1,2366.8035,2837.178
2000041698,2,136,93,69,6,12,1.1114,5.1628,0,2,601.5014,1143.1986
2000041698,2,137,45,44,14,18,14.7165,10.8738,2,1,4283.6907,4975.1433
2000041698,2,138,82,40,14,19,13.4261,14.7645,3,2,3473.3502,2584.9566
2000041698,2,139,47,80,8,7,5.2557,7.702,0,2,932.9036,1859.377
2000041698,2,140,57,44,12,7,1.6753,1.6728,1,1,884.4284,549.2173
2000041698,2,141,81,49,13,7,5.6314,4.846,1,2,1536.2727,1417.7718
2000041698,2,142,29,66,1,12,1.1936,9.4882,1,0,314.543,2948.8282
2000041698,2,143,58,17,14,14,27.3944,25.8871,2,2,6067.3338,7323.0063
2000041698,2,144,5,9,8,17,8.4581,5.5245,2,1,2094.4227,1890.3215
2000041698,2,145,72,47,17,11,16.344,1.7792,2,1,4304.9928,1219.8834
2000041698,2,146,50,21,8,7,11.4522,2.3409,3,0,1752.9601,1496.7242
2000041698,2,147,47,98,7,12,2.6194,2.4738,1,0,856.2195,740.5072
2000041698,2,148,15,34,8,16,1.6454,10.3122,1,2,1042.2986,2596.0282
2000041698,2,149,61,91,10,10,7.5403,10.8471,2,1,2967.6575,3581.7361
2000041698,2,150,80,100,10,10,5.1504,8.7432,1,1,2366.7534,1032.3931
2000041698,2,151,91,98,11,2,9.6204,0.8492,1,0,2940.7439,780.7659
2000041698,2,152,80,44,15,19,3.24,4.3702,2,2,3913.6877,5381.0445
2000041698,2,153,91,98,12,6,13.4343,5.2749,2,1,4354.4625,1381.6725
2000041698,2,154,19,99,14,5,7.5955,8.1318,1,1,1447.6214,1572.1267
2000041698,2,155,9,45,11,13,12.6857,3.167,3,1,2830.3086,360.5858
2000041698,2,156,93,53,11,17,6.1693,15.3483,1,1,1577.3884,5122.6787
2000041698,2,157,60,87,5,10,2.1706,11.1596,1,1,775.4703,2387.7032
2000041698,2,158,66,84,5,16,10.3806,6.3454,1,0,1732.9025,1784.711
2000041698,2,159,87,70,6,15,4.406,18.66,1,2,1108.9383,3581.1469
2000041698,2,160,93,84,14,14,5.2364,11.2306,0,2,2870.0512,3013.9414
2000041698,2,161,40,91,9,13,6.8663,12.8529,1,1,1815.157,4032.2509
2000041698,2,162,5,70,5,12,0.5637,12.2487,0,1,865.1605,2901.0593
2000041698,2,163,17,75,4,10,2.9314,1.3938,0,0,755.3338,1263.9565
2000041698,2,164,84,93,16,9,7.4658,1.5662,2,0,1825.6097,977.8444
2000041698,2,165,46,17,3,2,3.9832,5.0872,1,1,1174.4273,852.8409
2000041698,2,166,58,37,12,16,7.5124,6.707,2,1,2287.5944,2862.4937
2000041698,2,167,9,60,15,8,10.254,15.3019,0,3,2836.6042,3707.9655
2000041698,2,168,69,66,6,15,4.6163,10.5097,1,2,1674.0229,3117.8969
2000041698,2,169,49,99,12,14,4.6411,6.8324,1,1,1533.8073,1547.2916
2000041698,2,170,19,40,3,21,2.0124,8.7835,0,3,690.652,1983.8184
2000041698,2,171,45,3,11,4,8.3648,4.4413,2,1,1898.6857,1260.0352
2000041698,2,172,9,49,12,9,13.4528,3.0156,3,1,3939.1561,1762.497
2000041698,2,173,40,29,15,10,2.8852,5.2016,1,1,405.7899,1276.0008
2000041698,2,174,80,81,8,18,3.8132,8.0155,1,1,1115.6075,1559.4588
2000041698,2,175,99,43,5,4,2.4868,0.3015,1,0,1007.1136,242.7641
2000041698,2,176,1,57,10,12,18.2895,7.4043,2,2,3786.9694,2274.2071
2000041698,2,177,84,87,10,9,8.2194,14.9162,1,1,2158.9879,2955.2098
2000041698,2,178,65,80,4,8,2.1542,2.8286,1,1,556.709,1366.2702
2000041698,2,179,66,93,18,17,9.2668,2.2324,0,1,2264.0725,2192.6864
2000041698,2,180,19,41,12,3,3.3538,1.7449,1,1,2329.7604,517.0361
2000041698,2,181,82,93,8,7,2.7331,6.2492,1,2,2772.9787,1559.016
2000041698,2,182,69,45,11,19,2.3605,4.2239,2,1,989.1744,596.2992
2000041698,2,183,65,12,4,7,3.2673,3.0949,2,2,1356.5631,1094.8959
2000041698,2,184,66,96,5,9,7.5365,2.916,0,0,2009.3826,1299.5172
2000041698,2,185,41,3,0,5,0.0,1.6227,0,1,0.0,771.816
2000041698,2,186,65,93,12,19,15.27,10.4384,3,1,2913.5874,2099.544
2000041698,2,187,25,65,6,10,5.0055,2.7906,1,1,1104.1011,403.8817
2000041698,2,188,81,49,14,5,8.7193,2.3569,1,2,1689.1422,856.8519
2000041698,2,189,84,98,11,12,7.3444,7.0537,3,2,1788.8294,1802.3519
2000041698,2,190,98,44,8,12,2.4045,3.5858,0,1,1000.6405,1701.9305
2000041698,2,191,15,80,6,8,5.6244,3.4872,3,1,1775.9893,1354.8372
2000041698,2,192,50,29,8,12,6.4213,1.5056,1,1,719.0633,403.6658
2000041698,2,193,5,45,11,17,3.4994,7.9368,1,2,2756.7712,3058.7166
2000041698,2,194,99,93,19,19,9.382,10.351,3,2,3438.8752,3765.8156
2000041698,2,195,21,80,19,16,3.402,3.1955,2,1,1555.0895,2363.5172
2000041698,2,196,99,84,8,14,2.5701,5.3477,1,2,1138.192,2256.3518
2000041698,2,197,15,87,0,9,0.0119,11.6209,0,2,1.9777,2696.6926
2000041698,2,198,5,69,10,12,0.5224,0.0056,0,0,743.8443,196.9582
2000041698,2,199,40,43,16,14,2.8119,5.7849,1,1,2126.6047,2653.7033
2000041698,2,200,25,1,7,7,4.9384,15.6409,2,2,1374.0001,3349.3434
2000041698,3,201,98,192,8,14,14.1568,7.8759,2,0,3404.8197,1947.005
2000041698,3,202,117,152,9,19,4.9836,7.4144,1,3,1912.8406,4444.8723
2000041698,3,203,9,187,9,10,10.4914,6.2276,2,2,2076.4096,1980.969
2000041698,3,204,82,190,8,9,2.0284,3.5801,1,1,2192.0143,1509.749
2000041698,3,205,49,19,9,18,1.5002,4.4471,0,2,549.2458,2012.7964
2000041698,3,206,142,187,7,7,4.8564,3.845,3,1,1455.1234,1033.4967
2000041698,3,207,186,49,10,9,10.268,3.3241,0,2,1571.2101,1195.0252
2000041698,3,208,183,25,7,16,4.077,5.1257,0,2,1092.8539,1957.2188
