seed,generation,child_id,parent1_id,parent2_id,morph_diff_p1,morph_diff_p2,tf_diff_p1,tf_diff_p2,activation_diff_p1,activation_diff_p2,trajectory_diff_p1,trajectory_diff_p2
1249147593,2,101,82,53,15,13,3.2481,6.4213,1,2,1513.1634,3152.3888
1249147593,2,102,29,70,15,17,7.9884,3.3108,2,2,2551.7534,1307.7429
1249147593,2,103,24,19,7,5,0.8527,0.2831,0,0,688.6039,631.1206
1249147593,2,104,78,23,12,12,2.6038,15.3174,1,1,1575.3516,1570.0007
1249147593,2,105,96,47,3,7,3.5545,6.4949,0,1,746.5571,1684.7213
1249147593,2,106,90,5,13,14,7.54,8.2454,3,2,2999.9788,2379.5102
1249147593,2,107,53,46,5,12,0.0395,21.0779,0,3,541.5613,5430.7239
1249147593,2,108,5,15,5,12,3.5253,5.2274,1,3,1739.7383,1402.9125
1249147593,2,109,93,22,15,12,5.3561,9.898,2,1,2310.5402,2671.7934
1249147593,2,110,1,90,6,6,0.6699,3.3708,1,2,291.6154,693.1662
1249147593,2,111,82,84,6,16,2.9465,15.2013,1,3,2168.8423,3816.9724
1249147593,2,112,47,57,8,12,6.1515,2.1933,1,0,883.0393,1210.5365
1249147593,2,113,93,72,10,8,8.049,0.8281,2,0,3108.9767,692.2865
1249147593,2,114,24,10,6,3,2.2672,1.1565,0,0,555.5845,631.6574
1249147593,2,115,93,34,11,6,2.8112,5.2393,1,1,999.6551,2173.3173
1249147593,2,116,84,60,12,13,11.6218,1.1968,1,1,2188.2766,973.9596
1249147593,2,117,57,6,9,8,2.8728,6.4948,1,1,1474.2755,2193.2358
1249147593,2,118,22,95,13,17,9.2082,7.6296,1,1,2751.9512,2696.6237
1249147593,2,119,69,10,12,3,9.1914,3.0409,2,2,2167.6414,788.4255
1249147593,2,120,23,96,14,19,10.4598,11.6317,0,2,2853.3223,2443.6714
1249147593,2,121,93,5,11,12,6.317,9.9712,1,2,3015.8346,2204.0392
1249147593,2,122,11,10,9,3,5.0646,1.6082,2,1,1333.2448,349.89
1249147593,2,123,90,5,6,7,0.4404,3.3096,0,1,942.6304,1875.1921
1249147593,2,124,69,78,10,16,6.7846,2.9958,0,2,1458.6454,1796.2048
1249147593,2,125,89,48,8,14,1.3715,5.1059,1,1,1537.7156,1566.5293
1249147593,2,126,19,5,6,8,14.1364,11.6249,2,2,1989.414,1956.1612
1249147593,2,127,22,87,2,15,2.7666,5.0872,1,0,949.4441,1520.6071
1249147593,2,128,54,55,12,13,5.1252,10.1757,0,3,1102.4969,2167.6685
1249147593,2,129,84,97,17,13,0.9687,11.3821,0,1,1873.7033,4051.4321
1249147593,2,130,100,87,7,10,1.54,5.6724,0,2,619.8707,3315.5497
1249147593,2,131,11,57,9,10,5.0643,2.8731,2,1,1341.8056,1499.6058
1249147593,2,132,58,57,5,12,5.9989,4.6511,1,1,1360.8013,934.1391
1249147593,2,133,78,72,9,13,2.5514,1.088,2,1,674.4651,809.2368
1249147593,2,134,84,89,10,17,5.2855,10.1124,0,3,1800.5073,2167.5617
1249147593,2,135,90,72,15,14,6.9969,7.5282,1,1,3433.4109,3246.6269
1249147593,2,136,54,90,10,8,8.3807,1.1129,1,1,1303.8954,1486.888
