seed,generation,child_id,parent1_id,parent2_id,morph_diff_p1,morph_diff_p2,tf_diff_p1,tf_diff_p2,activation_diff_p1,activation_diff_p2,trajectory_diff_p1,trajectory_diff_p2
698244043,2,101,88,41,10,5,2.9072,8.685,2,2,1445.8291,2260.8649
698244043,2,102,39,58,8,18,5.263,10.7636,3,1,1476.8922,3123.9719
698244043,2,103,20,24,17,21,10.1241,9.4683,0,0,3275.0019,1908.7398
698244043,2,104,93,6,17,16,11.9727,4.4893,2,0,3022.9607,2102.2273
698244043,2,105,3,28,11,12,9.6439,14.3433,2,2,638.7784,3423.8293
698244043,2,106,5,75,21,18,11.5653,14.5424,1,0,4006.8686,4923.7528
698244043,2,107,93,63,5,9,1.8154,3.6593,2,1,1016.288,1243.5897
698244043,2,108,5,24,5,13,4.3118,16.2086,1,2,1564.0604,3194.8536
698244043,2,109,51,20,14,19,22.8871,13.7247,2,1,4062.1444,3664.2513
698244043,2,110,37,92,8,14,1.3182,19.8455,0,3,501.9487,4894.7017
698244043,2,111,58,15,19,6,12.2894,7.75,1,1,2457.4229,2366.2554
698244043,2,112,36,44,5,9,3.0834,4.5391,1,1,497.08,754.947
698244043,2,113,24,45,10,10,18.021,1.9726,3,1,2948.1198,935.187
698244043,2,114,17,6,3,10,2.4676,9.2404,0,2,1169.3712,2174.2644
698244043,2,115,41,93,10,14,14.4562,18.4675,1,2,1630.2657,800.133
698244043,2,116,44,17,12,10,4.5191,5.1988,1,1,2782.3205,3460.2085
698244043,2,117,45,9,1,8,1.7313,0.1096,1,0,583.0049,1315.2372
698244043,2,118,41,70,0,5,0.0,6.405,0,3,0.0,1748.6904
698244043,2,119,25,79,7,6,9.2678,0.6954,2,0,2356.8131,479.3127
698244043,2,120,41,73,9,11,6.5345,9.0809,1,3,1879.3796,2434.2491
698244043,2,121,93,52,8,16,1.4132,10.4243,1,1,517.9868,1930.0029
698244043,2,122,33,75,10,14,10.7028,11.9883,3,2,2451.2873,4027.4136
698244043,2,123,7,79,3,7,2.4805,7.2032,0,2,340.4169,1057.6952
698244043,2,124,7,92,8,10,5.8648,16.9692,2,1,1081.0681,3828.9229
698244043,2,125,66,46,13,10,7.5895,5.7797,0,2,2904.1129,1332.0781
698244043,2,126,66,36,17,8,11.6201,5.0545,1,1,3961.9116,2327.7004
698244043,2,127,6,93,18,20,18.5101,25.3137,1,3,5889.7131,6980.6273
698244043,2,128,73,75,6,15,6.4258,12.5919,3,2,1945.6135,4154.8267
698244043,2,129,41,63,10,11,4.7348,7.4272,1,3,1837.0033,1612.9801
698244043,2,130,14,15,10,20,9.3671,7.9886,1,2,2862.5728,1824.6952
698244043,2,131,60,58,11,17,9.5766,9.2635,1,1,2770.5623,3202.6752
698244043,2,132,90,77,3,17,0.0004,8.2241,0,2,46.2094,2316.6837
698244043,2,133,75,66,18,14,11.0559,15.5119,2,2,2992.9417,5360.2165
698244043,2,134,9,25,8,6,0.0066,9.5096,0,2,1277.9065,2699.3525
698244043,2,135,15,93,7,19,6.4751,2.3072,1,1,1743.016,2191.0382
698244043,2,136,79,16,10,11,1.0616,1.2334,0,1,738.6185,722.045
698244043,2,137,75,76,14,12,13.2818,15.0871,3,2,3856.272,3145.0162
698244043,2,138,39,71,2,8,2.6074,0.2332,1,0,1153.2412,1477.6924
698244043,2,139,40,66,0,11,0.4363,13.8672,0,2,109.2038,4681.6407
698244043,2,140,76,36,19,19,13.2832,11.0043,2,3,4175.5969,3602.914
698244043,2,141,41,39,10,11,5.7844,3.3046,2,1,1689.452,1335.4603
698244043,2,142,5,73,12,15,3.443,10.1116,0,2,1021.6492,2528.5633
698244043,2,143,66,44,12,13,13.7149,4.5237,1,1,4282.9396,987.5191
698244043,2,144,92,45,11,10,15.6321,1.8375,1,1,3554.9303,1186.1511
698244043,2,145,57,92,5,11,1.9081,16.4101,1,0,665.8098,3241.2998
698244043,2,146,46,66,6,10,2.6419,14.2134,1,3,1046.4202,4373.6902
698244043,2,147,7,23,11,4,6.466,1.5805,2,0,1412.4118,802.1181
698244043,2,148,41,7,12,18,4.0672,6.2767,0,2,698.5717,2041.6789
698244043,2,149,76,93,12,7,17.1817,3.7901,3,2,4188.2922,903.9664
698244043,2,150,23,9,5,14,3.4211,4.6905,2,2,1335.8303,1707.1356
698244043,2,151,58,79,14,6,15.1906,0.8522,3,0,3914.209,369.0959
698244043,2,152,30,27,11,1,10.8741,0.3518,3,0,2757.3895,592.6697
698244043,2,153,84,52,11,16,3.0863,11.9201,1,2,1234.5357,2940.6119
698244043,2,154,6,84,9,19,6.6571,7.4623,0,1,1394.8327,2380.6852
698244043,2,155,41,66,4,9,4.3584,14.3356,1,0,1029.7881,4472.587
