seed,generation,individual_id,parent1_id,parent2_id,tf_concentration,num_active_tfs,trajectory_variability
1249147593,1,1,,,8.0144,2,18.6228
1249147593,1,2,,,1.8889,1,2.4789
1249147593,1,3,,,6.4895,2,7.6972
1249147593,1,4,,,21.0112,2,88.5937
1249147593,1,5,,,10.2471,3,34.6305
1249147593,1,6,,,14.2094,3,24.0862
1249147593,1,7,,,2.2038,1,4.8648
1249147593,1,8,,,1.7945,1,2.5035
1249147593,1,9,,,1.9434,1,2.4564
1249147593,1,10,,,3.1045,1,6.5731
1249147593,1,11,,,13.2682,3,31.7828
1249147593,1,12,,,3.4905,2,21.0563
1249147593,1,13,,,6.6971,2,5.3264
1249147593,1,14,,,5.7784,2,8.6055
1249147593,1,15,,,27.3258,4,48.2105
1249147593,1,16,,,7.1946,3,23.718
1249147593,1,17,,,14.0292,3,37.3144
1249147593,1,18,,,16.5615,3,11.5075
1249147593,1,19,,,8.4423,3,27.9931
1249147593,1,20,,,21.0324,4,87.0163
1249147593,1,21,,,4.1044,2,9.5132
1249147593,1,22,,,18.3579,3,42.371
1249147593,1,23,,,14.8264,3,35.5749
1249147593,1,24,,,5.3431,2,15.2179
1249147593,1,25,,,4.8229,2,18.2135
1249147593,1,26,,,14.8711,2,66.4408
1249147593,1,27,,,2.2563,1,2.4627
1249147593,1,28,,,2.328,1,6.7246
1249147593,1,29,,,19.0681,3,33.7826
1249147593,1,30,,,10.2901,2,6.834
1249147593,1,31,,,3.8779,1,9.6599
1249147593,1,32,,,1.5293,1,4.9467
1249147593,1,33,,,12.0853,2,24.186
1249147593,1,34,,,6.9463,3,9.3763
1249147593,1,35,,,1.6174,1,2.6806
1249147593,1,36,,,9.1484,2,16.9168
1249147593,1,37,,,1.8833,1,4.388
1249147593,1,38,,,13.6805,3,41.9608
1249147593,1,39,,,27.9188,3,83.6647
1249147593,1,40,,,14.7915,3,36.9693
1249147593,1,41,,,6.696,3,10.2546
1249147593,1,42,,,24.22,4,39.3628
1249147593,1,43,,,9.9424,3,17.3942
1249147593,1,44,,,11.5808,2,33.7032
1249147593,1,45,,,2.3479,1,3.4546
1249147593,1,46,,,9.0682,3,18.3037
1249147593,1,47,,,11.5257,3,12.8448
1249147593,1,48,,,9.641,2,35.3373
1249147593,1,49,,,21.2566,3,45.2177
1249147593,1,50,,,11.4058,3,27.3462
1249147593,1,51,,,9.2669,2,53.9043
1249147593,1,52,,,12.9007,3,42.7873
1249147593,1,53,,,3.6235,2,12.3053
1249147593,1,54,,,18.826,3,30.4191
1249147593,1,55,,,18.352,3,32.1439
1249147593,1,56,,,10.2523,3,17.3297
1249147593,1,57,,,21.3122,4,39.5728
1249147593,1,58,,,4.4869,2,15.5202
1249147593,1,59,,,12.0857,1,32.4297
1249147593,1,60,,,11.6044,2,34.6258
1249147593,1,61,,,3.0696,1,8.5188
1249147593,1,62,,,19.251,2,65.578
1249147593,1,63,,,12.5438,3,25.9623
1249147593,1,64,,,14.8163,3,30.0008
1249147593,1,65,,,5.4174,2,3.8018
1249147593,1,66,,,5.8385,1,11.4716
1249147593,1,67,,,6.0076,2,9.6258
1249147593,1,68,,,3.5353,1,4.6682
1249147593,1,69,,,12.1204,2,26.5746
1249147593,1,70,,,15.4178,3,41.6116
1249147593,1,71,,,8.6658,2,11.9114
1249147593,1,72,,,7.4912,1,9.7795
1249147593,1,73,,,13.8684,3,67.615
1249147593,1,74,,,29.1733,4,63.6137
1249147593,1,75,,,2.2306,1,27.6651
1249147593,1,76,,,0.8958,0,1.623
1249147593,1,77,,,11.0237,2,42.7597
1249147593,1,78,,,9.2026,4,35.7614
1249147593,1,79,,,2.3248,1,1.9838
1249147593,1,80,,,31.6524,4,87.7366
1249147593,1,81,,,22.109,4,58.7027
1249147593,1,82,,,17.3222,4,32.9392
1249147593,1,83,,,2.4963,2,4.8057
1249147593,1,84,,,19.3075,3,56.7151
1249147593,1,85,,,18.8246,3,37.0144
1249147593,1,86,,,0.558,0,2.633
1249147593,1,87,,,29.913,2,101.7507
1249147593,1,88,,,19.8423,3,46.2255
1249147593,1,89,,,6.8858,1,45.4814
1249147593,1,90,,,1.3904,0,6.2338
1249147593,1,91,,,11.8778,3,36.6646
1249147593,1,92,,,0.0,0,0.936
1249147593,1,93,,,29.0663,3,35.6941
1249147593,1,94,,,13.5644,2,64.5273
1249147593,1,95,,,22.1936,3,67.0858
1249147593,1,96,,,26.0739,4,64.4194
1249147593,1,97,,,9.7088,2,20.3385
1249147593,1,98,,,8.3246,1,28.607
1249147593,1,99,,,20.9642,3,54.3778
1249147593,1,100,,,4.8482,1,13.8453
1249147593,2,101,82,53,20.0852,3,61.3476
1249147593,2,102,40,70,4.3263,2,15.035
1249147593,2,103,77,19,2.1949,1,20.837
