seed,generation,individual_id,parent1_id,parent2_id,tf_concentration,num_active_tfs,trajectory_variability
698244043,1,1,,,5.8213,3,35.6755
698244043,1,2,,,1.871,1,4.5669
698244043,1,3,,,10.8806,3,19.3341
698244043,1,4,,,0.9621,0,2.813
698244043,1,5,,,7.2795,2,31.9306
698244043,1,6,,,14.9492,3,64.9001
698244043,1,7,,,6.0626,2,21.159
698244043,1,8,,,9.4447,2,44.4176
698244043,1,9,,,0.0072,0,38.7826
698244043,1,10,,,1.2502,0,17.6826
698244043,1,11,,,3.4046,3,14.4331
698244043,1,12,,,0.0006,0,3.0034
698244043,1,13,,,3.8461,2,37.7581
698244043,1,14,,,0.0013,0,6.2727
698244043,1,15,,,10.735,3,45.9639
698244043,1,16,,,1.3684,1,32.3155
698244043,1,17,,,3.2412,1,25.132
698244043,1,18,,,2.1762,1,10.3668
698244043,1,19,,,4.0264,2,14.217
698244043,1,20,,,19.6499,3,117.6888
698244043,1,21,,,0.1461,0,3.2351
698244043,1,22,,,6.4074,2,23.1731
698244043,1,23,,,1.2766,0,16.6922
698244043,1,24,,,18.9941,3,46.4245
698244043,1,25,,,9.5096,2,24.0005
698244043,1,26,,,0.0013,0,3.7916
698244043,1,27,,,0.6109,0,6.0349
698244043,1,28,,,15.58,3,60.558
698244043,1,29,,,4.0585,1,12.9458
698244043,1,30,,,11.8349,3,41.668
698244043,1,31,,,1.9502,1,13.3115
698244043,1,32,,,7.2815,3,69.7954
698244043,1,33,,,10.8203,2,49.1603
698244043,1,34,,,15.8179,2,91.4917
698244043,1,35,,,3.7475,1,9.7425
698244043,1,36,,,1.219,1,16.7067
698244043,1,37,,,5.0905,2,39.8729
698244043,1,38,,,12.9132,3,38.9426
698244043,1,39,,,2.6996,1,46.5405
698244043,1,40,,,1.4624,1,7.3054
698244043,1,41,,,6.3976,2,23.055
698244043,1,42,,,0.2791,0,1.1308
698244043,1,43,,,3.21,1,23.8967
698244043,1,44,,,3.5873,1,29.3431
698244043,1,45,,,1.8399,1,17.2955
698244043,1,46,,,3.2436,1,44.5377
698244043,1,47,,,7.0196,3,18.6903
698244043,1,48,,,8.5755,1,50.319
698244043,1,49,,,3.1267,1,29.7729
698244043,1,50,,,6.6322,2,26.2507
698244043,1,51,,,26.0034,2,70.0951
698244043,1,52,,,13.9634,3,60.4136
698244043,1,53,,,1.5676,0,44.4676
698244043,1,54,,,0.0003,0,3.2797
698244043,1,55,,,3.8434,1,26.2254
698244043,1,56,,,14.1652,2,61.8495
698244043,1,57,,,0.2229,0,3.4421
698244043,1,58,,,15.2743,3,67.3335
698244043,1,59,,,8.969,2,11.7986
698244043,1,60,,,2.229,1,11.2427
698244043,1,61,,,8.9963,2,77.3483
698244043,1,62,,,0.4051,0,2.7899
698244043,1,63,,,4.5158,2,35.5589
698244043,1,64,,,3.7341,1,18.5354
698244043,1,65,,,4.1436,1,4.4054
698244043,1,66,,,15.7013,3,71.6324
698244043,1,67,,,15.1983,3,73.0942
698244043,1,68,,,0.2454,0,3.5246
698244043,1,69,,,10.5568,1,72.9775
698244043,1,70,,,2.6153,1,7.7403
698244043,1,71,,,0.4174,0,35.5053
698244043,1,72,,,5.433,1,44.3609
698244043,1,73,,,6.0924,2,21.9555
698244043,1,74,,,1.259,1,2.5136
698244043,1,75,,,13.823,3,71.0371
698244043,1,76,,,15.6283,2,65.4692
698244043,1,77,,,8.9549,2,41.3769
698244043,1,78,,,0.5553,0,8.3002
698244043,1,79,,,0.9359,0,16.5917
698244043,1,80,,,1.0274,1,2.3276
698244043,1,81,,,1.3331,1,12.7165
698244043,1,82,,,7.5624,2,40.1567
698244043,1,83,,,12.3554,3,98.6293
698244043,1,84,,,5.1302,2,26.046
698244043,1,85,,,10.7092,2,20.8054
698244043,1,86,,,18.9312,3,84.5675
698244043,1,87,,,4.3849,3,17.8486
698244043,1,88,,,6.3193,2,46.9985
698244043,1,89,,,0.0006,0,2.6203
698244043,1,90,,,0.7304,0,2.6737
698244043,1,91,,,3.6507,1,36.3799
698244043,1,92,,,18.0954,1,40.7044
698244043,1,93,,,2.3863,1,32.1611
698244043,1,94,,,14.7316,3,50.731
698244043,1,95,,,18.9844,3,73.7476
698244043,1,96,,,5.787,1,17.4709
698244043,1,97,,,7.2939,1,52.8886
698244043,1,98,,,4.1074,1,24.5702
698244043,1,99,,,16.2049,2,78.954
698244043,1,100,,,10.1624,2,53.3485
698244043,2,101,88,41,7.0648,2,19.4321
698244043,2,102,39,58,4.5114,2,13.5925
698244043,2,103,20,24,9.5258,3,47.2349
698244043,2,104,93,6,14.359,3,79.1694
698244043,2,105,3,28,1.2367,1,18.7166
698244043,2,106,5,75,8.6523,3,100.6779
698244043,2,107,93,63,1.8049,1,7.4287
698244043,2,108,5,24,3.1566,1,18.3684
698244043,2,109,51,20,5.9252,2,27.492
698244043,2,110,37,92,5.5023,2,37.7997
698244043,2,111,58,15,2.9881,2,57.8544
698244043,2,112,36,44,4.3011,2,18.3545
698244043,2,113,24,45,0.9731,0,18.0117
698244043,2,114,17,6,5.7088,1,40.2075
698244043,2,115,41,93,20.8538,3,52.0447
698244043,2,116,44,17,7.0984,2,70.5735
698244043,2,117,45,9,0.1099,0,10.0974
698244043,2,118,41,70,6.3976,2,23.055
698244043,2,119,25,79,0.2418,0,6.657
698244043,2,120,41,73,14.4814,4,36.1905
698244043,2,121,93,52,3.5391,2,41.3454
698244043,2,122,33,75,1.8347,1,5.0628
698244043,2,123,7,79,8.1391,2,26.2438
698244043,2,124,7,92,1.4125,0,6.0297
698244043,2,125,66,46,8.1124,3,22.409
698244043,2,126,66,36,6.2734,2,59.7885
698244043,2,127,6,93,27.7,4,137.0368
698244043,2,128,73,75,1.2311,1,3.6689
698244043,2,129,41,63,4.0808,1,38.3214
698244043,2,130,14,15,9.3684,1,53.1465
698244043,2,131,60,58,10.3163,2,67.1954
698244043,2,132,90,77,0.7307,0,3.7893
698244043,2,133,75,66,2.7671,1,25.8131
698244043,2,134,9,25,0.0006,0,1.8794
698244043,2,135,15,93,4.2606,2,67.2164
698244043,2,136,79,16,0.1356,0,31.0753
698244043,2,137,75,76,0.5412,0,21.271
698244043,2,138,39,71,0.6505,0,63.2749
698244043,2,139,40,66,1.8987,1,6.8085
698244043,2,140,76,36,10.9175,2,75.6377
698244043,2,141,41,39,0.6138,0,16.7294
698244043,2,142,5,73,8.2832,2,34.7549
698244043,2,143,66,44,5.0035,2,36.3962
698244043,2,144,92,45,3.3688,2,31.0296
698244043,2,145,57,92,1.6852,1,4.5322
698244043,2,146,46,66,1.4879,0,10.898
698244043,2,147,7,23,1.2366,0,23.1996
698244043,2,148,41,7,10.4648,2,49.7156
698244043,2,149,76,93,3.6089,1,12.7106
698244043,2,150,23,9,4.6977,2,39.431
698244043,2,151,58,79,0.0837,0,7.7303
698244043,2,152,30,27,0.9621,0,14.9051
698244043,2,153,84,52,2.0439,1,7.4919
698244043,2,154,6,84,8.9343,3,83.6072
698244043,2,155,41,66,7.5399,3,23.3267
698244043,2,156,76,7,5.2049,2,68.2441
698244043,2,157,25,60,0.402,0,1.038
698244043,2,158,36,94,1.2098,1,9.0824
698244043,2,159,84,93,12.8693,3,52.9836
698244043,2,160,58,6,9.3372,2,70.3704
698244043,2,161,14,9,1.8934,1,51.2884
698244043,2,162,37,92,11.1317,3,71.5209
698244043,2,163,39,76,1.9974,1,41.368
698244043,2,164,66,50,10.1393,2,68.49
698244043,2,165,7,44,9.9318,2,32.3136
698244043,2,166,45,39,0.2041,0,13.104
698244043,2,167,4,25,2.3111,1,16.4718
698244043,2,168,79,44,1.4617,1,8.0584
698244043,2,169,17,5,2.7917,1,20.9618
698244043,2,170,27,5,0.7546,0,6.2677
698244043,2,171,24,92,2.9858,1,14.8684
698244043,2,172,15,76,2.2793,1,77.2527
698244043,2,173,46,76,6.1331,2,72.7112
698244043,2,174,30,75,2.2352,2,26.6341
698244043,2,175,32,39,3.5259,2,21.8769
698244043,2,176,66,40,6.1938,1,56.1126
698244043,2,177,15,66,12.8814,3,62.2824
698244043,2,178,66,15,24.5833,2,77.6415
698244043,2,179,52,40,16.8876,3,63.8204
698244043,2,180,36,98,0.835,0,2.9219
698244043,2,181,9,52,0.0006,0,1.8794
698244043,2,182,7,9,2.3753,1,12.3387
698244043,2,183,37,3,6.9198,2,56.6804
698244043,2,184,93,4,3.3183,1,84.6838
698244043,2,185,39,62,2.5663,1,46.7939
698244043,2,186,36,9,1.2752,1,11.2696
698244043,2,187,46,17,2.8586,1,31.873
698244043,2,188,79,37,4.9474,3,50.9482
698244043,2,189,13,30,5.4285,2,39.6646
698244043,2,190,24,84,3.435,2,77.3381
698244043,2,191,39,73,5.7284,2,18.0406
698244043,2,192,86,41,0.1093,0,3.5057
698244043,2,193,77,90,18.0491,3,128.7073
698244043,2,194,79,17,0.7825,0,26.0648
698244043,2,195,63,41,6.7339,2,21.1619
698244043,2,196,94,84,7.7776,1,10.6109
698244043,2,197,24,9,23.3458,3,59.0536
698244043,2,198,52,65,16.4292,3,66.0086
698244043,2,199,66,28,5.9075,1,50.4579
698244043,2,200,23,76,1.7936,1,4.723
698244043,3,201,28,39,2.9575,2,25.5073
698244043,3,202,140,112,10.2331,3,63.5396
698244043,3,203,41,79,5.3284,3,20.2146
698244043,3,204,6,177,0.2467,0,3.4583
698244043,3,205,5,112,9.8326,2,93.4391
698244043,3,206,105,184,0.2176,0,3.4924
698244043,3,207,116,66,0.6808,0,13.3447
698244043,3,208,142,109,4.9439,2,30.9857
698244043,3,209,167,144,0.7965,0,3.0983
698244043,3,210,135,112,9.5246,2,70.6345
698244043,3,211,118,28,13.892,3,63.5066
698244043,3,212,110,79,13.936,3,68.2084
698244043,3,213,110,105,9.6032,1,56.5899
698244043,3,214,109,14,1.8278,1,50.6487
698244043,3,215,39,177,5.2122,1,64.1274
698244043,3,216,185,169,15.2537,2,47.617
698244043,3,217,28,39,14.6296,2,41.1091
698244043,3,218,184,129,11.1982,2,124.8484
698244043,3,219,188,77,9.0954,3,23.6657
698244043,3,220,93,9,5.1039,1,56.6455
698244043,3,221,116,112,2.8168,2,31.0856
698244043,3,222,94,52,1.6236,1,27.452
698244043,3,223,112,14,0.168,0,13.6812
698244043,3,224,105,160,13.9363,3,87.2717
698244043,3,225,182,58,14.117,3,27.3211
