seed,generation,individual_id,parent1_id,parent2_id,tf_concentration,num_active_tfs,trajectory_variability
741426186,1,1,,,2.25,1,48.5659
741426186,1,2,,,10.1003,3,35.7636
741426186,1,3,,,0.7009,0,6.9641
741426186,1,4,,,0.0022,0,13.3642
741426186,1,5,,,3.6947,2,24.9198
741426186,1,6,,,4.1302,2,29.5697
741426186,1,7,,,1.0341,1,3.2059
741426186,1,8,,,0.9469,0,1.3151
741426186,1,9,,,0.4585,0,4.4735
741426186,1,10,,,1.9885,1,7.0661
741426186,1,11,,,7.6883,2,41.8991
741426186,1,12,,,2.6786,1,26.7997
741426186,1,13,,,0.9377,0,8.9323
741426186,1,14,,,0.0003,0,2.1797
741426186,1,15,,,2.5904,1,15.3902
741426186,1,16,,,4.6225,2,33.0257
741426186,1,17,,,2.6936,1,25.9967
741426186,1,18,,,11.83,3,45.8087
741426186,1,19,,,4.8428,2,10.1192
741426186,1,20,,,1.2645,0,36.1955
741426186,1,21,,,12.2387,4,74.5711
741426186,1,22,,,4.2455,1,14.175
741426186,1,23,,,0.0006,0,3.1694
741426186,1,24,,,19.1415,3,64.0174
741426186,1,25,,,2.2676,1,9.8203
741426186,1,26,,,5.5784,1,38.487
741426186,1,27,,,1.4356,1,33.4855
741426186,1,28,,,2.594,1,33.7011
741426186,1,29,,,0.9891,0,3.6201
741426186,1,30,,,0.5427,0,10.3386
741426186,1,31,,,1.9667,1,2.2949
741426186,1,32,,,7.5221,2,53.9722
741426186,1,33,,,5.656,2,41.0478
741426186,1,34,,,6.5362,1,52.4081
741426186,1,35,,,2.1714,1,35.9488
741426186,1,36,,,14.2353,3,66.4957
741426186,1,37,,,7.0434,2,30.9146
741426186,1,38,,,1.2329,1,16.862
741426186,1,39,,,8.1302,3,95.2385
741426186,1,40,,,0.9711,0,7.7461
741426186,1,41,,,0.5291,0,10.739
741426186,1,42,,,3.0852,1,87.4785
741426186,1,43,,,0.0407,0,41.934
741426186,1,44,,,2.9369,1,16.2884
741426186,1,45,,,4.0314,2,7.7938
741426186,1,46,,,0.3662,0,5.2938
741426186,1,47,,,4.6014,1,5.5526
741426186,1,48,,,1.8534,1,32.4762
741426186,1,49,,,0.4143,0,4.8047
741426186,1,50,,,2.7945,1,3.3393
741426186,1,51,,,0.1086,0,3.7714
741426186,1,52,,,1.2502,0,8.4455
741426186,1,53,,,25.3861,3,84.6877
741426186,1,54,,,13.9675,4,86.0344
741426186,1,55,,,0.4508,0,3.9591
741426186,1,56,,,15.2672,3,55.2441
741426186,1,57,,,3.0259,1,13.6674
741426186,1,58,,,1.6494,1,7.2406
741426186,1,59,,,2.1826,1,27.5314
741426186,1,60,,,1.4612,0,9.2694
741426186,1,61,,,0.0028,0,8.9823
741426186,1,62,,,0.0028,0,14.8721
741426186,1,63,,,0.0009,0,4.5543
741426186,1,64,,,1.5139,1,7.2273
741426186,1,65,,,7.8532,2,28.7425
741426186,1,66,,,8.1754,2,39.4447
741426186,1,67,,,1.9382,1,34.5926
741426186,1,68,,,0.766,0,18.7198
741426186,1,69,,,3.9215,2,13.3501
741426186,1,70,,,0.8611,0,3.0139
741426186,1,71,,,9.9855,3,38.4374
741426186,1,72,,,8.003,1,19.9609
741426186,1,73,,,6.2878,1,12.8988
741426186,1,74,,,3.3474,1,68.3889
741426186,1,75,,,1.9952,1,35.3949
741426186,1,76,,,1.1943,1,4.3739
741426186,1,77,,,7.1125,1,29.2462
741426186,1,78,,,10.3301,2,64.8487
741426186,1,79,,,7.2249,2,75.0258
741426186,1,80,,,6.682,2,36.0882
741426186,1,81,,,1.6304,1,68.2915
741426186,1,82,,,5.1117,2,63.3789
741426186,1,83,,,17.352,3,64.9489
741426186,1,84,,,2.4366,1,22.6148
741426186,1,85,,,7.2207,2,11.6153
741426186,1,86,,,0.0013,0,9.7889
741426186,1,87,,,1.6285,1,4.1706
741426186,1,88,,,4.4941,1,50.6266
741426186,1,89,,,2.8202,1,50.3692
741426186,1,90,,,0.1479,0,14.5982
741426186,1,91,,,5.2718,1,27.6537
741426186,1,92,,,9.2443,2,32.3617
741426186,1,93,,,8.1664,3,91.2066
741426186,1,94,,,3.9751,2,54.5552
741426186,1,95,,,2.3744,1,28.2269
741426186,1,96,,,6.0845,2,13.5519
741426186,1,97,,,5.8865,2,58.4962
741426186,1,98,,,9.9272,3,46.7467
741426186,1,99,,,6.8837,2,26.8829
741426186,1,100,,,14.9764,2,58.8588
741426186,2,101,84,26,10.2012,2,57.5629
741426186,2,102,4,6,3.0,1,49.9496
741426186,2,103,78,98,4.2742,3,60.764
741426186,2,104,33,91,6.4462,2,36.1619
741426186,2,105,75,10,13.5107,2,37.5614
741426186,2,106,36,96,14.7679,2,84.0706
741426186,2,107,92,61,5.4618,2,20.4111
741426186,2,108,8,76,0.9469,0,1.3151
741426186,2,109,81,98,0.8886,0,11.3644
741426186,2,110,38,52,11.1977,3,45.9758
741426186,2,111,33,16,2.8642,2,30.7179
741426186,2,112,21,59,2.2446,1,47.4011
741426186,2,113,83,21,7.0067,3,65.5068
741426186,2,114,92,98,8.4632,2,25.6034
741426186,2,115,93,92,11.2014,2,92.6681
741426186,2,116,44,24,3.5358,1,18.4244
741426186,2,117,69,26,0.9142,0,23.7127
741426186,2,118,76,92,6.8563,1,36.8066
741426186,2,119,59,87,0.9627,0,26.2579
741426186,2,120,6,67,12.6591,3,52.8137
741426186,2,121,6,82,4.0839,2,46.1542
741426186,2,122,24,17,22.4832,3,76.4371
741426186,2,123,92,78,1.3441,0,4.4025
741426186,2,124,36,61,6.1745,2,37.4357
741426186,2,125,78,58,5.1726,1,32.0021
741426186,2,126,75,38,2.777,1,10.4889
741426186,2,127,18,81,1.3085,0,23.3071
741426186,2,128,98,89,5.3277,3,45.0909
741426186,2,129,21,24,7.5907,2,31.9734
741426186,2,130,16,69,0.0,0,3.16
741426186,2,131,80,84,1.8716,0,23.2967
741426186,2,132,94,8,0.0,0,0.1412
741426186,2,133,56,21,15.2672,3,55.2441
741426186,2,134,69,57,5.2528,1,54.7991
741426186,2,135,58,42,3.5128,1,51.5052
741426186,2,136,26,61,3.7731,1,32.3105
741426186,2,137,94,55,5.0792,2,42.8468
741426186,2,138,26,24,0.7185,0,27.1891
741426186,2,139,66,96,14.1889,3,47.0962
741426186,2,140,18,75,0.107,0,3.418
741426186,2,141,96,59,0.0009,0,5.3685
741426186,2,142,98,21,0.0006,0,3.331
741426186,2,143,9,33,17.8742,4,49.301
741426186,2,144,83,81,12.8053,2,69.5903
741426186,2,145,51,33,3.9852,2,36.6519
741426186,2,146,56,14,10.0019,3,122.5894
741426186,2,147,98,48,10.0987,3,54.5815
741426186,2,148,9,75,7.6771,2,21.5762
741426186,2,149,27,81,1.1056,1,20.9924
741426186,2,150,33,98,2.9795,1,32.0805
741426186,2,151,80,61,6.5773,3,35.8756
741426186,2,152,76,92,1.5855,1,3.0345
741426186,2,153,18,48,4.9585,2,17.9969
741426186,2,154,74,92,5.5682,2,45.6628
741426186,2,155,24,78,7.8679,2,49.388
741426186,2,156,84,92,5.5055,3,72.7388
741426186,2,157,21,83,1.5475,1,14.8532
741426186,2,158,91,32,36.1372,3,64.8572
741426186,2,159,98,8,0.9398,0,7.3074
741426186,2,160,51,47,0.1086,0,3.7714
741426186,2,161,94,84,6.7032,1,50.3684
741426186,2,162,42,24,8.336,3,28.8667
741426186,2,163,33,36,4.0609,2,12.1965
741426186,2,164,82,98,0.9586,0,4.7158
741426186,2,165,36,40,6.9411,1,56.9055
741426186,2,166,92,87,14.2429,3,68.6503
741426186,2,167,51,61,0.1086,0,3.7714
741426186,2,168,36,56,2.2765,1,10.9912
741426186,2,169,87,98,2.8747,1,19.2483
741426186,2,170,22,66,7.8476,2,31.7632
741426186,2,171,57,51,3.0259,1,13.6674
741426186,2,172,61,78,1.2758,0,18.7125
741426186,2,173,98,75,5.7852,1,20.0895
741426186,2,174,92,16,1.163,1,15.4337
741426186,2,175,36,47,10.1749,4,64.749
741426186,2,176,69,70,2.3138,1,10.7374
741426186,2,177,18,76,0.3032,0,3.5668
741426186,2,178,38,45,12.4589,3,51.2709
741426186,2,179,78,21,9.3122,2,56.6307
741426186,2,180,66,78,7.892,2,62.4725
741426186,2,181,92,75,0.3807,0,4.0393
741426186,2,182,33,74,0.705,0,13.3086
741426186,2,183,58,9,1.9842,1,12.2431
741426186,2,184,82,89,3.6664,2,14.2062
741426186,2,185,93,24,13.3613,3,31.9389
741426186,2,186,56,58,5.358,3,42.6622
741426186,2,187,61,81,0.8747,0,23.315
741426186,2,188,89,82,3.2616,1,7.9691
741426186,2,189,48,36,1.6687,1,73.5459
741426186,2,190,94,48,8.5362,2,36.5544
741426186,2,191,87,96,1.6285,1,4.1706
741426186,2,192,66,36,0.8982,0,36.5224
741426186,2,193,81,66,11.3865,3,54.5074
741426186,2,194,33,58,0.0009,0,4.7306
741426186,2,195,94,93,3.3048,1,38.5344
741426186,2,196,84,75,7.1633,3,26.5421
741426186,2,197,22,84,0.7563,0,3.7722
741426186,2,198,84,40,17.9111,3,113.6603
741426186,2,199,61,47,3.1344,1,31.9518
741426186,2,200,55,87,0.4508,0,3.9591
741426186,3,201,124,93,6.6808,2,58.2691
741426186,3,202,127,191,1.3569,0,13.7129
741426186,3,203,89,93,7.4224,2,25.2658
741426186,3,204,185,139,12.8668,3,39.9793
741426186,3,205,170,143,0.2171,0,19.4343
741426186,3,206,143,109,0.0031,0,18.3301
741426186,3,207,147,135,4.7051,2,53.0792
741426186,3,208,28,78,6.2264,1,46.4889
741426186,3,209,135,129,0.3464,0,37.3776
741426186,3,210,98,87,1.83,1,23.1913
741426186,3,211,91,180,4.2615,1,49.16
741426186,3,212,135,9,0.5508,0,9.3394
741426186,3,213,133,143,9.4456,3,24.1721
741426186,3,214,61,180,5.457,2,12.5942
741426186,3,215,75,153,5.7358,2,52.7991
741426186,3,216,94,158,4.411,2,46.3342
741426186,3,217,92,89,8.6339,2,33.0347
741426186,3,218,78,139,5.8364,1,40.6679
741426186,3,219,133,78,6.8448,2,39.8434
741426186,3,220,129,190,4.4416,1,31.0475
741426186,3,221,21,98,3.5319,1,38.5299
741426186,3,222,127,166,10.8028,2,39.0203
741426186,3,223,147,56,0.2803,0,17.4922
741426186,3,224,36,129,6.9664,1,73.0711
741426186,3,225,143,135,1.0346,1,3.1654
741426186,3,226,92,129,0.0003,0,2.2897
741426186,3,227,78,135,4.1453,3,32.2997
741426186,3,228,94,78,0.5455,0,12.0695
741426186,3,229,98,89,2.5789,1,2.0843
741426186,3,230,78,84,4.167,1,29.4815
741426186,3,231,111,147,8.0693,2,46.0612
741426186,3,232,78,190,1.4272,0,26.0115
741426186,3,233,200,183,0.7806,0,9.1226
741426186,3,234,147,133,3.5202,2,17.4862
741426186,3,235,55,58,14.4592,1,43.1845
741426186,3,236,143,102,1.1611,0,32.3355
741426186,3,237,151,84,4.4612,3,45.9451
741426186,3,238,76,180,13.0865,3,47.662
741426186,3,239,177,78,2.5394,1,32.8449
741426186,3,240,21,78,12.2387,4,74.5711
741426186,3,241,180,143,1.1898,0,10.0037
741426186,3,242,102,139,1.3982,1,19.8582
741426186,3,243,94,78,0.6126,0,19.6089
741426186,3,244,18,21,1.1482,0,5.6038
741426186,3,245,158,94,28.8775,3,81.6369
741426186,3,246,76,21,4.1135,2,7.826
741426186,3,247,76,190,6.9818,3,40.1537
741426186,3,248,117,33,1.3947,1,18.817
741426186,3,249,76,78,0.4792,0,6.0606
741426186,3,250,84,180,0.6145,0,35.4003
741426186,3,251,135,87,4.0945,1,14.2933
741426186,3,252,133,98,1.7912,1,2.2268
741426186,3,253,200,94,0.4655,0,6.5229
741426186,3,254,61,147,4.0778,1,13.2949
741426186,3,255,177,200,2.2021,1,38.1369
741426186,3,256,124,133,2.2902,1,24.4602
741426186,3,257,78,191,6.1397,1,34.2239
741426186,3,258,143,91,3.2351,1,26.2514
741426186,3,259,94,102,0.1029,0,7.0056
741426186,3,260,21,126,2.9172,1,6.3342
741426186,3,261,109,78,0.1634,0,5.0341
741426186,3,262,143,36,0.7492,0,63.509
741426186,3,263,94,177,8.6935,2,68.5854
741426186,3,264,183,76,17.0345,4,65.7443
741426186,3,265,102,76,1.7854,1,3.5896
741426186,3,266,93,84,5.0221,2,37.9608
741426186,3,267,89,58,1.8344,1,30.347
741426186,3,268,61,89,0.0006,0,0.3804
741426186,3,269,102,18,0.8529,0,43.1376
741426186,3,270,102,21,0.0003,0,2.7197
741426186,3,271,56,78,1.6828,1,5.6248
741426186,3,272,69,135,2.6952,1,3.1164
741426186,3,273,155,92,6.6097,2,62.5802
741426186,3,274,76,87,1.1943,1,4.3739
741426186,3,275,48,18,1.0566,0,5.6684
741426186,3,276,81,21,1.0945,0,47.9092
741426186,3,277,78,139,0.7798,0,15.112
741426186,3,278,180,151,7.3109,2,42.8039
741426186,3,279,94,158,1.8033,1,26.7827
741426186,3,280,135,48,4.1031,1,11.4117
741426186,3,281,84,151,3.9943,1,17.8005
741426186,3,282,102,81,0.0296,0,15.0529
741426186,3,283,58,139,4.0849,2,17.7413
741426186,3,284,98,94,5.3331,1,5.8006
741426186,3,285,111,143,8.6094,1,73.7626
741426186,3,286,56,26,0.3748,0,3.8202
741426186,3,287,94,200,11.3687,1,74.1668
741426186,3,288,48,158,0.3562,0,4.0138
741426186,3,289,87,98,3.055,1,24.495
741426186,3,290,177,92,16.8212,3,50.4255
741426186,3,291,129,153,1.3254,1,11.7677
741426186,3,292,98,153,1.3646,1,7.8004
741426186,3,293,135,180,5.45,2,56.8538
741426186,3,294,93,111,4.4345,1,53.5982
741426186,3,295,175,139,7.2218,2,45.7828
741426186,3,296,58,93,2.7779,1,16.7885
