seed,generation,individual_id,parent1_id,parent2_id,tf_concentration,num_active_tfs,trajectory_variability
2000041698,1,1,,,22.2783,2,30.2217
2000041698,1,2,,,4.4151,1,5.1382
2000041698,1,3,,,4.654,1,39.2937
2000041698,1,4,,,14.7031,3,28.6305
2000041698,1,5,,,3.7111,1,8.9662
2000041698,1,6,,,1.336,1,2.686
2000041698,1,7,,,2.1642,1,2.9446
2000041698,1,8,,,29.5094,4,54.436
2000041698,1,9,,,11.2131,3,24.7668
2000041698,1,10,,,3.2522,1,3.3306
2000041698,1,11,,,2.2181,1,16.1121
2000041698,1,12,,,5.5348,2,5.3176
2000041698,1,13,,,4.9577,2,2.9235
2000041698,1,14,,,12.1485,2,78.8027
2000041698,1,15,,,1.1235,1,4.1461
2000041698,1,16,,,23.5842,4,51.1003
2000041698,1,17,,,15.9424,4,26.3456
2000041698,1,18,,,1.4958,0,9.2398
2000041698,1,19,,,18.7302,3,50.2646
2000041698,1,20,,,17.2431,3,36.162
2000041698,1,21,,,18.6628,3,51.2109
2000041698,1,22,,,2.99,1,6.1427
2000041698,1,23,,,8.3092,1,7.5282
2000041698,1,24,,,5.4549,2,5.1596
2000041698,1,25,,,13.8764,3,29.614
2000041698,1,26,,,2.0475,1,3.396
2000041698,1,27,,,7.2593,2,11.4001
2000041698,1,28,,,8.6096,2,27.4123
2000041698,1,29,,,9.765,3,22.7182
2000041698,1,30,,,8.1052,2,14.7512
2000041698,1,31,,,8.7118,2,38.3664
2000041698,1,32,,,14.1514,4,47.7449
2000041698,1,33,,,11.713,3,29.737
2000041698,1,34,,,16.2238,3,49.9681
2000041698,1,35,,,0.0,0,2.535
2000041698,1,36,,,2.3011,1,10.2221
2000041698,1,37,,,10.3286,2,28.9611
2000041698,1,38,,,9.8593,2,25.6986
2000041698,1,39,,,0.9394,0,1.0928
2000041698,1,40,,,9.713,2,45.2889
2000041698,1,41,,,2.7017,1,2.8785
2000041698,1,42,,,15.1004,3,39.1696
2000041698,1,43,,,1.7693,1,3.9002
2000041698,1,44,,,1.791,1,8.5458
2000041698,1,45,,,6.858,2,34.2984
2000041698,1,46,,,4.1849,2,3.9355
2000041698,1,47,,,12.6949,3,26.7941
2000041698,1,48,,,6.9872,3,20.7822
2000041698,1,49,,,8.1057,2,39.4982
2000041698,1,50,,,18.3207,2,54.6665
2000041698,1,51,,,3.6288,1,8.3533
2000041698,1,52,,,2.8705,1,20.5637
2000041698,1,53,,,36.7274,4,97.977
2000041698,1,54,,,28.1134,4,103.5329
2000041698,1,55,,,0.0,0,1.3327
2000041698,1,56,,,26.0353,3,29.2571
2000041698,1,57,,,4.2554,2,10.7827
2000041698,1,58,,,29.6694,3,47.9241
2000041698,1,59,,,14.2023,3,76.7484
2000041698,1,60,,,1.4509,1,6.5639
2000041698,1,61,,,11.1549,2,48.0843
2000041698,1,62,,,13.9794,3,32.608
2000041698,1,63,,,5.0484,1,8.4341
2000041698,1,64,,,6.3118,2,29.317
2000041698,1,65,,,5.6229,1,5.9491
2000041698,1,66,,,8.5881,3,10.6332
2000041698,1,67,,,2.1617,1,3.6526
2000041698,1,68,,,34.6034,3,69.2697
2000041698,1,69,,,3.9447,1,30.4202
2000041698,1,70,,,25.6348,3,34.5672
2000041698,1,71,,,8.8674,3,8.6235
2000041698,1,72,,,36.3161,3,57.5193
2000041698,1,73,,,7.3086,2,11.187
2000041698,1,74,,,17.2611,3,39.8128
2000041698,1,75,,,9.6432,3,34.0473
2000041698,1,76,,,7.9297,3,9.5683
2000041698,1,77,,,11.2706,3,45.0429
2000041698,1,78,,,8.0732,2,19.233
2000041698,1,79,,,1.3981,1,9.3195
2000041698,1,80,,,11.5999,3,16.3193
2000041698,1,81,,,6.6311,3,24.0967
2000041698,1,82,,,11.5793,2,50.4624
2000041698,1,83,,,2.1306,1,6.6758
2000041698,1,84,,,13.6764,4,49.434
2000041698,1,85,,,8.4807,2,28.4965
2000041698,1,86,,,14.0198,3,24.1021
2000041698,1,87,,,23.0765,3,38.2082
2000041698,1,88,,,25.6399,3,21.1004
2000041698,1,89,,,2.2221,1,2.5467
2000041698,1,90,,,4.137,1,4.3786
2000041698,1,91,,,30.5667,3,59.112
2000041698,1,92,,,10.8654,3,25.2772
2000041698,1,93,,,8.3349,2,34.4525
2000041698,1,94,,,0.5255,0,1.7695
2000041698,1,95,,,8.1509,2,10.4892
2000041698,1,96,,,16.6757,3,37.6712
2000041698,1,97,,,5.283,2,16.0151
2000041698,1,98,,,17.73,3,49.0576
2000041698,1,99,,,5.7925,3,28.3447
2000041698,1,100,,,17.6606,2,56.8738
2000041698,2,101,47,65,12.6949,3,26.7941
2000041698,2,102,60,84,0.9685,0,4.2208
