seed,generation,child_id,parent1_id,parent2_id,morph_diff_p1,morph_diff_p2,tf_diff_p1,tf_diff_p2,activation_diff_p1,activation_diff_p2,trajectory_diff_p1,trajectory_diff_p2
3510944332,2,101,91,78,10,6,6.5573,1.1412,2,0,1147.0004,688.9672
3510944332,2,102,21,78,8,6,1.7553,1.1427,1,0,690.1267,957.886
3510944332,2,103,75,68,6,18,3.1419,9.3987,0,2,841.2862,2917.1313
3510944332,2,104,8,30,0,14,0.6527,14.8913,1,2,209.5428,2827.3151
3510944332,2,105,16,41,15,12,10.9398,5.1358,3,2,4885.6325,2613.2717
3510944332,2,106,64,60,14,12,5.4616,7.0465,2,2,1466.5279,2980.3372
3510944332,2,107,24,7,11,13,3.5096,4.1807,1,2,2164.3765,2566.6304
3510944332,2,108,4,29,7,12,7.6402,6.5993,1,1,1998.9655,1852.1369
3510944332,2,109,55,48,12,1,15.436,2.736,2,1,4097.3016,1001.1606
3510944332,2,110,43,85,11,4,3.9823,3.0714,2,1,1519.8496,885.2931
3510944332,2,111,44,76,6,18,9.3274,8.1927,2,2,1483.5967,3871.6706
3510944332,2,112,9,15,12,13,14.9173,14.0119,3,2,3274.7971,3374.8138
3510944332,2,113,16,68,13,14,9.0227,10.0465,2,2,4147.6786,3062.2941
3510944332,2,114,57,76,13,20,3.2226,6.5699,0,2,1416.2903,3352.9881
3510944332,2,115,4,44,1,8,1.9736,10.6429,1,3,724.2921,1935.5161
3510944332,2,116,82,92,11,18,6.4747,5.7134,3,1,1721.1249,2346.7722
3510944332,2,117,92,38,5,5,4.285,2.4703,2,1,792.3316,1220.2637
3510944332,2,118,90,16,12,16,11.7581,10.3561,2,2,2942.677,4714.9436
3510944332,2,119,44,68,10,14,6.4343,11.2082,1,3,1219.0585,2724.2105
3510944332,2,120,68,33,18,17,11.1887,2.6121,3,1,2683.4203,1464.1676
3510944332,2,121,23,16,18,14,9.416,9.0534,2,1,4726.1539,1874.6087
3510944332,2,122,82,41,16,15,4.5094,5.7979,2,1,2506.6094,3217.4419
3510944332,2,123,50,82,8,11,1.6107,3.165,1,1,644.6621,2738.953
3510944332,2,124,33,15,12,9,1.2304,4.3632,1,2,495.394,1635.4955
3510944332,2,125,66,91,11,5,2.4579,6.8456,2,2,1793.0191,1492.6951
3510944332,2,126,37,58,8,13,5.6435,4.827,2,0,1072.7697,1444.5697
3510944332,2,127,52,56,3,8,3.0743,6.1269,0,2,936.3446,3096.4974
3510944332,2,128,56,38,7,6,3.7444,3.7223,2,1,1442.6669,1812.0415
3510944332,2,129,44,78,8,14,12.4718,11.3749,0,3,2546.4323,2479.6785
3510944332,2,130,15,7,8,9,0.9508,1.0068,1,1,847.9201,1019.5957
3510944332,2,131,33,82,20,17,13.093,13.407,3,3,3955.506,3129.564
3510944332,2,132,33,52,7,4,2.3363,5.1961,1,1,1187.3765,1956.6557
3510944332,2,133,78,75,15,18,5.3703,12.2422,3,0,1930.8879,3549.8274
3510944332,2,134,82,38,9,7,7.4602,5.1512,3,2,2483.1787,1632.091
3510944332,2,135,56,33,7,6,7.4639,3.1187,3,1,3168.5169,1595.3101
3510944332,2,136,41,28,15,13,3.9777,6.1472,1,2,1531.1691,3819.3407
3510944332,2,137,16,8,16,8,10.7964,0.9655,3,0,4375.7397,425.4772
3510944332,2,138,33,91,7,5,3.181,5.853,1,2,1710.9256,1298.9047
3510944332,2,139,14,75,10,17,11.096,21.0106,1,2,5304.3574,5510.3822
3510944332,2,140,68,14,15,7,12.0706,0.0019,3,0,3168.9555,590.4307
3510944332,2,141,55,52,13,6,15.9215,5.8199,2,0,3778.198,1457.7502
3510944332,2,142,33,42,11,13,6.2553,6.1805,1,1,1221.8324,2248.1887
3510944332,2,143,68,33,15,10,10.2293,3.9095,3,1,3518.2771,1394.8854
3510944332,2,144,27,41,4,14,1.3922,3.7936,0,1,499.0551,2159.5968
3510944332,2,145,82,42,7,12,7.5026,4.5697,2,0,1680.4313,1882.8543
3510944332,2,146,82,15,10,5,2.8829,0.7402,1,0,2786.5202,432.4771
3510944332,2,147,43,87,8,5,3.4662,2.9176,2,0,1245.1642,934.407
3510944332,2,148,21,52,12,10,1.7479,4.4126,1,1,996.8068,1480.1018
3510944332,2,149,61,16,7,15,1.6897,9.3609,1,2,1022.656,4744.691
3510944332,2,150,15,16,9,9,7.9838,16.5422,1,2,2459.8121,4569.5637
3510944332,2,151,86,37,0,9,0.0,3.4946,0,1,0.0,1073.9275
3510944332,2,152,55,75,16,17,8.9053,9.4885,0,0,2337.7022,2251.1912
3510944332,2,153,9,52,6,8,7.0037,5.2404,2,2,1661.2685,1458.8475
3510944332,2,154,75,67,15,12,15.3102,4.2026,2,0,3846.122,1341.387
3510944332,2,155,19,76,6,20,3.6314,8.3435,2,2,1435.855,4240.3456
3510944332,2,156,100,75,7,17,8.3973,10.0947,0,2,2466.216,3574.8507
