seed,generation,child_id,parent1_id,parent2_id,morph_diff_p1,morph_diff_p2,tf_diff_p1,tf_diff_p2,activation_diff_p1,activation_diff_p2,trajectory_diff_p1,trajectory_diff_p2
3623061707,2,101,8,45,13,14,7.8024,7.4169,3,2,3417.9692,2456.4328
3623061707,2,102,10,12,11,10,3.3114,5.9641,0,2,735.7664,1241.7711
3623061707,2,103,4,32,3,4,1.6953,1.812,0,0,772.1605,975.1405
3623061707,2,104,23,30,11,14,3.2867,5.0433,1,1,1277.0762,1619.954
3623061707,2,105,91,30,9,10,15.2692,6.8863,2,2,2747.7734,1798.6491
3623061707,2,106,10,51,8,10,1.0626,10.2519,0,2,876.3798,3494.8362
3623061707,2,107,3,23,0,3,0.5616,1.367,0,1,456.934,861.5373
3623061707,2,108,9,10,21,13,17.237,12.6568,3,1,5241.1059,3440.4629
3623061707,2,109,2,65,7,4,8.5604,5.4684,3,1,1565.6752,1099.0869
3623061707,2,110,9,48,13,7,8.8263,5.7074,2,1,2175.7137,1585.6515
3623061707,2,111,42,48,12,8,3.2095,11.3379,0,3,1455.4276,2189.238
3623061707,2,112,50,30,19,14,21.1605,4.0962,2,2,4521.3232,1693.5277
3623061707,2,113,91,45,9,12,28.869,35.9237,2,2,3921.6137,4544.6887
3623061707,2,114,13,12,12,8,1.9279,2.1291,1,1,1221.1251,679.6358
3623061707,2,115,10,2,4,6,1.349,4.4222,1,2,950.9407,1159.5051
3623061707,2,116,91,49,9,10,10.5448,2.3324,2,2,2292.3591,1280.0145
3623061707,2,117,22,87,12,21,6.0117,9.1498,1,2,3363.1479,2523.8753
3623061707,2,118,65,49,5,4,0.0681,2.9678,0,1,239.2655,1236.7421
3623061707,2,119,74,2,14,13,11.4212,10.5801,1,1,3807.051,2923.7497
3623061707,2,120,33,91,0,10,0.0,7.8989,0,0,0.0,2494.0337
3623061707,2,121,57,62,4,10,0.8815,3.9466,0,1,569.9792,2128.6044
3623061707,2,122,8,4,14,11,0.6392,0.8116,0,0,1134.4649,1024.9053
3623061707,2,123,51,30,10,11,5.9887,8.4548,2,2,1965.3025,3202.1523
3623061707,2,124,28,33,13,15,19.4706,22.8603,2,3,5437.3441,5853.2189
3623061707,2,125,13,80,9,8,3.0773,4.4141,1,3,1387.7545,1929.3743
3623061707,2,126,48,89,8,10,1.9246,6.3972,0,2,1828.7661,3552.7408
3623061707,2,127,22,42,10,11,2.382,10.6685,1,3,3264.6256,3028.891
3623061707,2,128,23,59,5,7,1.607,0.9909,1,0,1103.2918,747.9173
3623061707,2,129,3,12,2,6,1.5302,3.0541,1,2,465.1969,1015.3366
3623061707,2,130,80,73,9,12,1.0817,9.3865,0,1,751.5901,3669.3658
3623061707,2,131,80,51,8,12,0.688,9.9094,1,1,1176.3233,2755.5887
3623061707,2,132,48,13,0,9,0.2904,2.7873,0,1,18.8635,1342.7363
