seed,generation,child_id,parent1_id,parent2_id,morph_diff_p1,morph_diff_p2,tf_diff_p1,tf_diff_p2,activation_diff_p1,activation_diff_p2,trajectory_diff_p1,trajectory_diff_p2
2024494734,2,101,89,20,9,8,4.2804,2.8271,2,2,1156.433,655.3054
2024494734,2,102,81,12,6,10,5.1882,5.1209,2,1,1859.2597,1111.5019
2024494734,2,103,26,83,5,4,5.8605,4.0735,1,0,1499.4424,1013.9321
2024494734,2,104,11,35,10,9,5.2844,2.2361,2,1,2090.513,1048.2314
2024494734,2,105,51,17,7,7,4.0383,3.3725,1,1,1044.7213,1470.5267
2024494734,2,106,64,69,12,12,4.9641,4.4057,3,2,1207.9232,2077.0247
2024494734,2,107,17,2,7,7,11.5013,10.8021,1,2,2091.2016,2895.7643
2024494734,2,108,51,64,9,7,5.9309,1.8665,1,0,1907.8731,982.5471
2024494734,2,109,92,70,8,16,12.047,2.6186,0,0,2759.1338,1467.3083
2024494734,2,110,46,31,12,9,6.3376,3.2392,2,0,1503.817,937.1485
2024494734,2,111,89,62,10,8,1.5735,6.0606,0,1,923.9943,2106.7235
2024494734,2,112,71,65,11,7,5.3086,5.2917,1,0,1715.6216,958.1677
2024494734,2,113,46,64,10,19,7.5992,10.0392,1,3,1558.7161,2929.0577
2024494734,2,114,46,57,10,18,9.4134,7.7596,2,2,4115.6773,4158.396
2024494734,2,115,62,38,12,13,1.5602,3.2462,0,0,2078.1476,2002.725
2024494734,2,116,17,35,11,12,7.4185,2.4695,3,1,2153.9954,1438.8794
2024494734,2,117,62,48,14,9,6.3477,6.1992,1,2,1021.8458,2154.2812
2024494734,2,118,42,94,8,5,4.4438,4.3749,1,1,878.0273,802.1326
2024494734,2,119,94,85,7,8,2.4021,2.6069,1,2,953.9127,661.351
2024494734,2,120,64,81,10,10,1.5309,6.3462,1,2,1009.1726,2952.9863
2024494734,2,121,62,11,4,15,2.6965,5.7321,1,1,1213.7409,2047.5201
2024494734,2,122,86,12,14,16,3.8251,11.8887,1,3,2183.8369,4056.8276
2024494734,2,123,56,11,13,10,0.7606,5.4332,0,3,1606.94,2703.0576
2024494734,2,124,63,64,7,14,3.4774,6.7778,0,2,1077.7314,1872.8741
2024494734,2,125,52,11,9,6,4.4564,5.0778,1,2,894.3426,2422.9474
2024494734,2,126,26,95,0,14,0.1042,4.6769,0,3,147.2575,1867.6351
2024494734,2,127,17,58,7,4,4.0246,8.8254,1,3,1257.6604,2243.7455
2024494734,2,128,57,84,5,8,2.7915,3.6631,0,2,1051.1098,1761.5523
2024494734,2,129,12,6,6,12,4.5738,5.7719,0,1,902.3504,1549.154
2024494734,2,130,58,31,8,10,2.1745,3.3177,1,2,2150.0994,1216.2993
2024494734,2,131,60,11,18,17,7.7149,3.3133,2,0,2872.8879,1982.6627
2024494734,2,132,51,46,7,14,6.0639,3.9338,1,2,1476.5228,2012.9447
2024494734,2,133,94,65,21,18,33.5875,25.9068,2,0,4842.8088,3117.9995
2024494734,2,134,71,13,8,8,6.3014,2.6495,3,1,1473.3649,545.3142
2024494734,2,135,88,52,0,11,0.0255,11.626,0,0,58.6565,2056.7816
2024494734,2,136,51,99,13,5,6.373,0.6434,1,0,1818.3871,422.0728
2024494734,2,137,74,57,4,9,2.3067,5.9562,1,2,1044.9853,2098.0388
2024494734,2,138,86,38,9,11,2.1561,4.3967,1,1,1600.4996,1614.7289
2024494734,2,139,99,35,11,18,13.2238,14.6623,1,2,3754.1357,3588.5488
2024494734,2,140,17,89,11,17,3.0909,5.4973,0,2,1211.4456,1546.3382
2024494734,2,141,30,39,12,14,4.1475,9.0353,1,1,896.2391,2830.454
2024494734,2,142,74,85,0,13,0.1059,0.7667,0,0,244.3288,651.3918
2024494734,2,143,48,62,0,8,0.0,8.5743,0,1,0.0,2728.6101
2024494734,2,144,52,85,7,9,6.3048,3.1249,1,1,1477.6199,868.2043
2024494734,2,145,8,41,0,4,0.0016,2.8327,0,2,41.368,1066.734
2024494734,2,146,38,86,16,16,8.109,8.8699,2,2,2234.8646,1642.2802
2024494734,2,147,94,62,7,10,5.4971,4.5438,1,1,1957.5104,893.8602
2024494734,2,148,65,2,3,13,4.8202,9.4462,1,3,573.4754,2364.3084
2024494734,2,149,12,51,4,10,1.7469,9.6803,0,1,303.9262,2182.1683
2024494734,2,150,11,95,14,13,6.5564,4.7761,3,3,2476.3697,1537.4485
2024494734,2,151,12,80,17,8,9.3937,9.6295,2,0,1901.2046,1912.7259
2024494734,2,152,99,46,3,14,3.2479,2.0418,2,0,1048.4235,1880.0846
2024494734,2,153,31,8,12,11,5.6083,6.032,1,2,2138.8416,2574.5457
2024494734,2,154,84,64,7,15,1.6494,4.5182,1,3,1515.1349,823.4924
2024494734,2,155,17,41,7,11,7.7837,5.7465,2,0,1902.4775,1323.178
2024494734,2,156,60,30,12,11,4.925,3.8795,1,1,2980.2243,1646.0883
2024494734,2,157,65,8,11,15,3.2152,9.8593,1,2,2211.149,4576.6388
2024494734,2,158,84,70,0,14,0.0,14.4954,0,1,0.0,4284.7836
2024494734,2,159,60,35,9,11,5.8863,2.2195,1,0,2519.2966,557.5809
2024494734,2,160,13,94,3,5,1.1082,0.8329,1,0,546.5098,663.7272
2024494734,2,161,46,42,14,16,10.4156,11.1305,1,1,4947.2523,5510.411
2024494734,2,162,21,81,5,13,4.9895,6.1919,0,2,1139.5722,2490.5226
2024494734,2,163,48,65,0,9,0.0,9.2003,0,3,0.0,2909.1159
2024494734,2,164,60,92,15,11,7.8833,7.5868,1,0,3254.6995,1584.4625
2024494734,2,165,26,95,3,16,2.9259,2.671,1,2,1075.4724,1208.7041
2024494734,2,166,11,20,8,6,3.7593,4.1656,2,1,2162.2763,1477.7163
2024494734,2,167,92,94,9,7,3.2448,2.4023,2,1,878.9946,692.9681
